"product_name","avg_rating"
"Caramel Syrup (250ml)","4.20"
"Stainless Steel Tumbler","4.15"
"Coffee-Themed Notebook","4.14"
"Coffee Plant Kit (DIY)","4.14"
"Mocha Flavored Coffee Mix (200g)","4.12"
"Coffee Mug (Ceramic)","4.11"
"Coffee Art Print","4.07"
"Insulated Travel Mug","4.07"
"Reusable Coffee Cup (Eco-friendly)","4.06"
"Organic Green Coffee Beans (500g)","4.06"
"Glass Coffee Jar (500ml)","4.05"
"Flavored Coffee Pods (Pack of 10)","4.04"
"Tote Bag with Coffee Design","4.01"
"Cold Brew Concentrate (500ml)","3.99"
"Instant Coffee Powder (100g)","3.99"
"Coffee Gift Hamper","3.99"
"Customizable Coffee Coaster Set","3.98"
"Coffee-Themed T-Shirt","3.98"
"Cold Brew Coffee Pack (6 Bottles)","3.98"
"Coffee Drip Bags (10 Bags)","3.98"
"Coffee Recipe Book","3.98"
"French Press Coffee Set","3.97"
"Coffee Beans (500g)","3.97"
"Specialty Coffee Subscription","3.96"
"Vanilla Coffee Syrup (250ml)","3.94"
"Ground Espresso Coffee (250g)","3.94"
"Personalized Coffee Spoon","3.89"
"Coffee Bean Storage Canister","3.89"
